id_escola,nome_da_escola,tipo_da_escola,logradouro_da_entrega,numero,bairro,subprefeitura,latitude,longitude,quantidade_material
178,CENTRO INTEGRADO DE EDUCACAO PUBLICA HENFIL,CIEP,RUA CARLOS SEIDL,S/NO,CAJU,CENTRO,-22.88089,-43.22533,20.0
634,EM ALICE DO AMARAL PEIXOTO,EM,RUA EBANO,187,BENFICA,CENTRO,-22.88957,-43.2362,121.0
600,EM URUGUAI,EM,RUA ANA NERI,192,BENFICA,CENTRO,-22.89849,-43.23776,591.0
483,EM CELESTINO SILVA,EM,RUA DO LAVRADIO,56,CENTRO,CENTRO,-22.90929,-43.18358,220.0
490,E.M TIA CIATA,EM,AVENIDA PRESIDENTE VARGAS,S/NO,CENTRO,CENTRO,-22.90712,-43.19507,578.0
476,ESCOLA MUNICIPAL FLORIANO PEIXOTO,EM,PRACA ARGENTINA,20,SAO CRISTOVAO,CENTRO,-22.89763,-43.22746,190.0
132,EM PEREIRA PASSOS,EM,PRACA CONDESSA PAULO DE FRONTIN,45,RIO COMPRIDO,CENTRO,-22.92441,-43.20858,67.0
089,EM MARIO CLAUDIO,EM,RUA HADDOCK LOBO,148,RIO COMPRIDO,CENTRO,-22.91723,-43.21104,473.0
089,EM MARIO CLAUDIO,EM,RUA HADDOCK LOBO,148,RIO COMPRIDO,CENTRO,-22.91723,-43.21104,473.0
089,EM MARIO CLAUDIO,EM,RUA HADDOCK LOBO,148,RIO COMPRIDO,CENTRO,-22.91723,-43.21104,473.0
089,EM MARIO CLAUDIO,EM,RUA HADDOCK LOBO,148,RIO COMPRIDO,CENTRO,-22.91723,-43.21104,473.0
017,E.M PRESIDENTE JOSE LINHARES,EM,RUA BARAO DA TORRE,90,IPANEMA,ZONA SUL,-22.98333,-43.19904,48.0
017,E.M PRESIDENTE JOSE LINHARES,EM,RUA BARAO DA TORRE,90,IPANEMA,ZONA SUL,-22.98333,-43.19904,48.0
540,EM HENRIQUE DODSWORTH,EM,AVENIDA EPITACIO PESSOA,474,IPANEMA,ZONA SUL,-22.98195,-43.21358,516.0
055,EM SANTA CATARINA,EM,RUA EDUARDO SANTOS,38,SANTA TERESA,CENTRO,-22.91553,-43.19159,92.0
387,CIEP PRESIDENTE AGOSTINHO NETO,CIEP,RUA VISCONDE DE SILVA,S/NO,HUMAITA,ZONA SUL,-22.95917,-43.19972,456.0
331,CIEP TANCREDO NEVES,CIEP,RUA DO CATETE,77,CATETE,ZONA SUL,-22.92279,-43.17668,223.0
450,EM ALBERTO BARTH,EM,AVENIDA OSWALDO CRUZ,124,FLAMENGO,ZONA SUL,-22.94071,-43.17647,420.0
558,EM CICERO PENA,EM,AVENIDA ATLANTICA,1976,COPACABANA,ZONA SUL,-22.96865,-43.18114,573.0
413,EM COCIO BARCELOS,EM,RUA BARAO DE IPANEMA,34,COPACABANA,ZONA SUL,-22.97483,-43.18906,0.0
413,EM COCIO BARCELOS,EM,RUA BARAO DE IPANEMA,34,COPACABANA,ZONA SUL,-22.74828,-43.18906,0.0
309,EM MEXICO,EM,RUA DA MATRIZ,67,BOTAFOGO,ZONA SUL,-22.95271,-43.19176,319.0
523,EM PRESIDENTE DA COSTA E SILVA,EM,RUA ASSUNCAO,257,BOTAFOGO,ZONA SUL,-22.94556,-43.18659,111.0
268,ESCOLA MUNICIPAL MINAS GERAIS,EM,AVENIDA PASTEUR,433,URCA,ZONA SUL,-22.95382,-43.16889,308.0
035,EM SENADOR CORREA,EM,RUA SEN CORREA,S/NO,LARANJEIRAS,ZONA SUL,-22.93399,-43.18101,525.0
011,CIEP SAMUEL WEINER,CIEP,AVENIDA HEITOR BELTRAO,S/NO,TIJUCA,GRANDE TIJUCA,-22.92127,-43.228,445.0
163,EM LAUDIMIA TROTTA,EM,RUA ANTONIO BASILIO,370,TIJUCA,GRANDE TIJUCA,-22.92684,-43.23789,576.0
361,EM PRUDENTE DE MORAES,EM,RUA ENES DE SOUSA,36,TIJUCA,GRANDE TIJUCA,-22.92906,-43.23287,63.0
